"Start";"End";"Name"
"05/01/2016";"06/10/2016";"Conceptual Design Phase"
"05/01/2016";"08/23/2016";"Supplemental Wallpaper Submission Period"
"05/01/2016";"09/02/2016";"Supplemental Wallpaper Process"
"06/10/2016";"06/24/2016";"Wallpaper Design for Alpha"
"06/24/2016";"06/29/2016";"Finalize Alpha Wallpaper"
"06/29/2016";"06/29/2016";"Blog About Alpha Wallpaper"
"06/29/2016";"06/29/2016";"Alpha Wallpaper Deadline"
"06/29/2016";"07/01/2016";"Package Alpha Wallpaper"
"07/01/2016";"07/15/2016";"Solicit Feedback on Alpha Wallpaper"
"07/04/2016";"07/06/2016";"Create Alpha Website Banner"
"07/08/2016";"07/22/2016";"Prepare wallpaper for Beta"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/08/2016";"07/14/2016";"Create Splash Screens"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/08/2016";"07/08/2016";"Start Splash Screens"
"07/14/2016";"07/20/2016";"Finalize Splash Screens"
"07/20/2016";"07/22/2016";"Package: Beta Splash Screens"
"07/20/2016";"07/20/2016";"Deadline: Beta Splash Screens"
"07/22/2016";"07/22/2016";"Package: Supplemental Wallpaper"
"07/22/2016";"07/26/2016";"Package: Beta Wallpaper"
"07/29/2016";"08/12/2016";"Create Count Down Graphic"
"08/08/2016";"08/10/2016";"Create Beta Website Banner"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/12/2016";"08/26/2016";"Create DVD/CD label and sleeve artwork"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/23/2016";"08/23/2016";"Select Official Supplemental Wallpaper"
"08/24/2016";"08/31/2016";"Verify Supplemental Wallpaper Licenses"
"08/26/2016";"09/08/2016";"Polish/Finalize Release Party Posters"
"08/31/2016";"08/31/2016";"Package Final Splash Screens"
"08/31/2016";"08/31/2016";"Package Final Wallpaper"
"08/31/2016";"09/02/2016";"Package Supplemental Wallpaper"
"09/01/2016";"09/14/2016";"Create Final Release Banners"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/10/2016";"09/10/2016";"Tenda 1.1 Release Name Announced"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
