"Start";"End";"Name"
"06/22/2016";"06/28/2016";"Validate Former Beat Writers"
"06/24/2016";"06/24/2016";"Notify Development About Alpha Release Notes"
"06/28/2016";"07/05/2016";"Recruit New Beat Writers"
"06/29/2016";"06/29/2016";"Start Alpha Beat and Feature Page Review"
"06/29/2016";"07/01/2016";"Comb Beats and Feature Pages for Alpha"
"07/01/2016";"07/11/2016";"Prepare Alpha Release Notes (1 page)"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/08/2016";"07/12/2016";"Create Alpha Announcement (Marketing & Docs)"
"07/08/2016";"07/22/2016";"Test master branches of guides against Alpha and correct"
"07/08/2016";"07/18/2016";"Write Unclaimed Wiki Beats"
"07/12/2016";"07/12/2016";"Post Alpha Release Notes One-Page"
"07/18/2016";"07/18/2016";"Remind Translation: Beta Rel Notes POT Coming"
"07/19/2016";"07/22/2016";"Port Wiki to Publican"
"07/19/2016";"07/19/2016";"Remind announce-list & f-devel-announce: Wiki Freeze"
"07/20/2016";"07/20/2016";"Reminder to Trans that new POT files are coming for all guides"
"07/21/2016";"07/21/2016";"Wiki Freeze: Beta Release Notes"
"07/21/2016";"07/28/2016";"Ongoing build translation review htmls"
"07/22/2016";"07/22/2016";"Notify announce-list and f-devel-list draft guides available"
"07/22/2016";"07/22/2016";"Publish draft guides"
"07/22/2016";"07/22/2016";"Translate All Guides (POT to PO)"
"07/22/2016";"07/22/2016";"Create POT files for All Guides"
"07/22/2016";"07/22/2016";"Branch Guides"
"07/22/2016";"07/22/2016";"Notify trans that new Guide POT files available "
"07/25/2016";"07/25/2016";"Start nightly POT files all fed-rel-notes.rpm content"
"07/25/2016";"08/11/2016";"Generate nightly POT files all fed-rel-notes.rpm content"
"07/28/2016";"07/28/2016";"Translation Deadline: Beta Release Notes (PO Files complete)"
"07/28/2016";"08/01/2016";"Build f-r-n.rpm and Push to updates-candidate"
"07/29/2016";"07/29/2016";"Reminder to Trans that Final Guides POT files are coming"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"08/08/2016";"08/08/2016";"Remind new guide owners SRPM package review"
"08/08/2016";"08/11/2016";"Final Build All Guides: All Languages"
"08/09/2016";"08/11/2016";"Create Beta Announcement (Docs & Marketing)"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/09/2016";"08/09/2016";"Reminder: Send Project Wide-Final Release Notes Deadlines"
"08/11/2016";"08/11/2016";"Reminder to Development: Wiki Freeze in 7 days"
"08/11/2016";"08/11/2016";"Build and Post Beta release-notes to docs.tenda.co.ke"
"08/11/2016";"08/11/2016";"Build and Post Technical Notes to docs.tenda.co.ke"
"08/12/2016";"08/12/2016";"Prepare GA Release Notes"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/12/2016";"08/18/2016";"Test guides against Beta and correct"
"08/18/2016";"08/25/2016";"Port diff wiki content to Publican"
"08/18/2016";"08/18/2016";"String Freeze: GA Release Notes"
"08/18/2016";"08/18/2016";"Republish draft guides for Beta"
"08/18/2016";"08/18/2016";"Refresh POT files for all guides against Beta"
"08/18/2016";"08/18/2016";"Notify announce-list and f-devel-list revised draft guides available"
"08/18/2016";"08/18/2016";"Notify trans that POT files updated against Beta"
"08/22/2016";"08/22/2016";"Remind Translation: RPM Freeze (no more POTs) in 5 days"
"08/25/2016";"08/25/2016";"Generate GA Release Notes POT files for Translation"
"08/26/2016";"09/01/2016";"Build GA release note htmls for Translation"
"08/26/2016";"09/01/2016";"Review and correct GA Release Notes (daily builds html)"
"08/30/2016";"09/06/2016";"0-Day rel-notes update docs.fp.org"
"08/30/2016";"09/06/2016";"0-Day rel-notes build updated rpm"
"08/30/2016";"09/06/2016";"0-Day rel-notes generate POT"
"08/30/2016";"08/30/2016";"Remind Translators of GA Release Notes Deadline in 4 days"
"08/31/2016";"09/08/2016";"Create GA Announcement (Docs & Marketing)"
"09/01/2016";"09/01/2016";"String Freeze All Guides"
"09/01/2016";"09/05/2016";"Build tenda-release-notes executable"
"09/01/2016";"09/01/2016";"Generate final POT files for Guides"
"09/01/2016";"09/01/2016";"Notify Trans of Final Guides POT availability"
"09/01/2016";"09/14/2016";"Daily builds of Final guides for Translation"
"09/06/2016";"09/06/2016";"Publish all guides to docs.fp.o (html,html-single,pdf)"
"09/06/2016";"09/06/2016";"Add translated zero-day updates to docs.fp.org"
"09/07/2016";"09/07/2016";"Update and post Technical Notes to docs.tenda.co.ke"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/09/2016";"09/09/2016";"Tenda 1 Final Go/No-Go Meeting (17:00 US Eeastern)"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
"09/13/2016";"09/13/2016";"Push updated rel-notes RPMs to Updates repo"
