"Start";"End";"Name"
"03/15/2016";"03/15/2016";"File ticket with gP Eng-ops for bugzilla closure"
"05/01/2016";"05/01/2016";"Start Feature Submission"
"05/01/2016";"05/01/2016";"Create Tracker Bugs"
"05/01/2016";"05/01/2016";"Announce: Beta Release Readiness Meeting"
"05/29/2016";"05/29/2016";"Dev-Ops auto closure"
"06/08/2016";"06/08/2016";"Request Feature Status Updates + Remind Submit Deadline"
"06/14/2016";"06/14/2016";"Feature Submission Deadline One Week away"
"06/15/2016";"06/15/2016";"Rawhide Rebase Warning to Package Maintainers"
"06/15/2016";"06/15/2016";"Announce Feature Submission Closed"
"06/15/2016";"06/15/2016";"File Rawhide Rebase ticket with RHT Eng-ops"
"06/15/2016";"06/15/2016";"Feature Submission Deadline"
"06/15/2016";"06/15/2016";"Custom Spins Submission Deadline"
"06/15/2016";"06/15/2016";"Feature Submission Deadline Two Weeks away"
"06/16/2016";"06/16/2016";"Reminder: Alpha Blocker Meeting (f1alpha) #1"
"06/17/2016";"06/17/2016";"Alpha Blocker Meeting (f1alpha) #1"
"06/22/2016";"06/22/2016";"Remind Alpha Deadline in 1 week"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/22/2016";"06/22/2016";"Branch Tenda 1 from Rawhide"
"06/22/2016";"06/22/2016";"Announce Feature Freeze Reached"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"06/22/2016";"06/22/2016";"Reflect supported versions in Bugzilla product description"
"06/22/2016";"06/22/2016";"Rebase Rawhide bugs to Tenda 1"
"06/22/2016";"06/22/2016";"Remind < 85% complete Feature Owners"
"06/22/2016";"06/22/2016";"Reminder: Alpha Blocker Meeting (f1alpha) #2"
"06/23/2016";"06/23/2016";"Deliver Incomplete Features to FESCo "
"06/24/2016";"06/24/2016";"Alpha Blocker Meeting (f1alpha) #2"
"06/24/2016";"06/24/2016";"Alpha Change Deadline"
"06/24/2016";"06/29/2016";"Finalize Alpha Wallpaper"
"06/24/2016";"06/24/2016";"Announce Alpha Change Deadline Reached"
"06/27/2016";"06/30/2016";"Daily Review & Notification of Open Alpha Blocker Bugs"
"06/29/2016";"06/29/2016";"Reminder: Alpha Blocker Meeting (f1alpha) #3"
"06/29/2016";"06/29/2016";"Announce Software String Freeze Reached"
"06/29/2016";"06/29/2016";"Software String Freeze"
"06/30/2016";"06/30/2016";"Reminder: Tenda 1 Alpha Go/No-Go Meeting"
"07/01/2016";"07/01/2016";"Alpha Blocker Meeting (f1alpha) #3"
"07/04/2016";"07/04/2016";"Tenda 1 Alpha Go/No-Go Meeting (17:00 US Eastern)"
"07/05/2016";"07/05/2016";"Reminder: Alpha Release Readiness Meeting"
"07/06/2016";"07/06/2016";"Alpha Export Control Reporting"
"07/06/2016";"07/06/2016";"Alpha Blocker Meeting (f1alpha) #4"
"07/06/2016";"07/06/2016";"Reminder: Alpha Blocker Meeting (f1alpha) #4"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/11/2016";"07/11/2016";"Reminder: Beta Blocker Meeting (f1beta) #1"
"07/13/2016";"07/13/2016";"Beta Blocker Meeting (f1beta) #1"
"07/18/2016";"07/18/2016";"Reminder: Beta Blocker Meeting (f1beta) #2"
"07/20/2016";"07/20/2016";"Beta Blocker Meeting (f1beta) #2"
"07/21/2016";"07/27/2016";"Daily Review & Notification of Open Beta Blocker Bugs"
"07/22/2016";"07/22/2016";"Remind Beta Deadline in 1 week"
"07/22/2016";"07/22/2016";"Remind Features 100% Complete in 1 week"
"07/25/2016";"07/25/2016";"Reminder: Beta Blocker Meeting (f1beta) #3"
"07/27/2016";"07/27/2016";"Beta Blocker Meeting (f1beta) #3"
"07/29/2016";"07/29/2016";"Announce Beta Deadline & Feature Complete"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"08/01/2016";"08/01/2016";"Reminder: Beta Blocker Meeting (f1beta) #4"
"08/01/2016";"08/01/2016";"Deliver features < 100% to FESCo"
"08/03/2016";"08/03/2016";"Beta Blocker Meeting (f1beta) #4"
"08/04/2016";"08/04/2016";"Reminder: Beta Release Readiness Meeting"
"08/04/2016";"08/04/2016";"Reminder: Tenda 1 Beta Go/No-Go Meeting"
"08/08/2016";"08/08/2016";"Reminder: Final Blocker Meeting (f1blocker) #1"
"08/08/2016";"08/08/2016";"Tenda 1 Beta Go/No-Go Meeting (17:00 US Eastern)"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/10/2016";"08/10/2016";"Beta Export Control Reporting"
"08/10/2016";"08/10/2016";"Final Blocker Meeting (f1blocker) #1"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/15/2016";"08/15/2016";"Reminder: Final Blocker Meeting (f1blocker) #2"
"08/17/2016";"08/24/2016";"Collect Tenda 1.1 Names on Wiki"
"08/17/2016";"09/10/2016";"Name the Tenda 1.1 Release"
"08/17/2016";"08/17/2016";"Final Blocker Meeting (f1blocker) #2"
"08/22/2016";"08/22/2016";"Reminder: Final Blocker Meeting (f1blocker) #3"
"08/24/2016";"08/29/2016";"Board Review of Proposed Tenda 1.1 Names"
"08/24/2016";"08/24/2016";"Final Blocker Meeting (f1blocker) #3"
"08/25/2016";"08/31/2016";"Daily Review & Notification of Open Final Blocker Bugs"
"08/29/2016";"09/05/2016";"Legal Review"
"08/29/2016";"08/29/2016";"Reminder: Final Blocker Meeting (f1blocker) #4"
"08/31/2016";"08/31/2016";"Final Blocker Meeting (f1blocker) #4"
"09/01/2016";"09/01/2016";"Final Blocker Meeting (f1blocker)--Blocks RC Compose"
"09/01/2016";"09/01/2016";"File Dev-ops ticket for Beta EOL Bugzilla warning"
"09/01/2016";"09/01/2016";"Final Change Deadline"
"09/01/2016";"09/01/2016";"Announce Final Freeze & Implications"
"09/05/2016";"09/09/2016";"Voting"
"09/06/2016";"09/06/2016";"Reminder: Tenda 1 Final Go/No-Go Meeting"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/07/2016";"09/07/2016";"Final Export Control Reporting"
"09/07/2016";"09/07/2016";"Reflect supported versions in Bugzilla product description"
"09/08/2016";"09/08/2016";"Reminder: Final Release Readiness Meeting"
"09/09/2016";"09/09/2016";"Tenda 1 Final Go/No-Go Meeting (17:00 US Eeastern)"
"09/09/2016";"09/09/2016";"Send Email Reminder About Tenda EOL Activities"
"09/10/2016";"09/10/2016";"Tenda 1.1 Release Name Announced"
