"Start";"End";"Name"
"06/15/2016";"06/15/2016";"Feature Submission Deadline"
"06/16/2016";"06/21/2016";"Pre-Alpha Rawhide Acceptance Test Plan #1"
"06/17/2016";"06/17/2016";"Alpha Blocker Meeting (f1alpha) #1"
"06/17/2016";"06/27/2016";"Test Alpha 'Test Compose'"
"06/17/2016";"06/24/2016";"Pre-Alpha Rawhide Acceptance Test Plan #2"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/24/2016";"06/24/2016";"Alpha Blocker Meeting (f1alpha) #2"
"06/24/2016";"06/29/2016";"Pre-Alpha Rawhide Acceptance Test Plan #3"
"06/24/2016";"06/24/2016";"Alpha Change Deadline"
"06/27/2016";"06/30/2016";"Daily Review & Notification of Open Alpha Blocker Bugs"
"06/28/2016";"07/05/2016";"Test Alpha Candidate"
"06/29/2016";"07/01/2016";"Comb Beats and Feature Pages for Alpha"
"06/29/2016";"06/29/2016";"Start Alpha Beat and Feature Page Review"
"07/01/2016";"07/11/2016";"Prepare Alpha Release Notes (1 page)"
"07/01/2016";"07/01/2016";"Alpha Blocker Meeting (f1alpha) #3"
"07/04/2016";"07/04/2016";"Tenda 1 Alpha Go/No-Go Meeting (17:00 US Eastern)"
"07/06/2016";"07/06/2016";"Alpha Blocker Meeting (f1alpha) #4"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/08/2016";"07/29/2016";"Alpha Testing"
"07/08/2016";"07/11/2016";"NVR Update Check testing"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/13/2016";"07/13/2016";"Beta Blocker Meeting (f1beta) #1"
"07/18/2016";"07/22/2016";"Pre-Beta Acceptance Test Plan"
"07/20/2016";"07/20/2016";"Beta Blocker Meeting (f1beta) #2"
"07/21/2016";"07/27/2016";"Daily Review & Notification of Open Beta Blocker Bugs"
"07/22/2016";"08/01/2016";"Test Beta 'Test Compose'"
"07/27/2016";"07/27/2016";"Beta Blocker Meeting (f1beta) #3"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"07/29/2016";"07/29/2016";"End of Alpha Testing"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"08/02/2016";"08/09/2016";"Test Beta Candidate"
"08/03/2016";"08/03/2016";"Beta Blocker Meeting (f1beta) #4"
"08/08/2016";"08/08/2016";"Tenda 1 Beta Go/No-Go Meeting (17:00 US Eastern)"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/10/2016";"08/10/2016";"Final Blocker Meeting (f1blocker) #1"
"08/12/2016";"09/01/2016";"Beta Testing"
"08/12/2016";"08/12/2016";"Prepare GA Release Notes"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/17/2016";"08/17/2016";"Final Blocker Meeting (f1blocker) #2"
"08/23/2016";"08/29/2016";"Pre-RC Acceptance Test Plan"
"08/24/2016";"08/24/2016";"Final Blocker Meeting (f1blocker) #3"
"08/25/2016";"08/31/2016";"Test 'Final' Test Compose (TC)"
"08/25/2016";"08/31/2016";"Daily Review & Notification of Open Final Blocker Bugs"
"08/31/2016";"08/31/2016";"Final Blocker Meeting (f1blocker) #4"
"09/01/2016";"09/01/2016";"End of Beta Testing"
"09/01/2016";"09/01/2016";"Final Blocker Meeting (f1blocker)--Blocks RC Compose"
"09/05/2016";"09/06/2016";"Test 'Final' RC"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/09/2016";"09/09/2016";"Tenda 1 Final Go/No-Go Meeting (17:00 US Eeastern)"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
