"Start";"End";"Name"
"05/03/2016";"05/03/2016";"Start Nightly Spins Compose Based on Rawhide"
"06/08/2016";"06/08/2016";"Update All Spins Wiki Pages From Previous Releases"
"06/15/2016";"06/15/2016";"Custom Spins Submission Deadline"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/24/2016";"06/24/2016";"Alpha Change Deadline"
"06/24/2016";"06/24/2016";"Build spin-kickstarts package from master"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/22/2016";"07/22/2016";"Build spin-kickstarts package from master"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/25/2016";"08/25/2016";"Spins kickstart package Freeze"
"08/25/2016";"08/25/2016";"Branch spin-kickstarts and build package from new branch"
"09/01/2016";"09/01/2016";"Final Change Deadline"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/07/2016";"09/07/2016";"Build new spin-kickstarts package for updates (if necessary)"
