"Start";"End";"Name"
"05/01/2016";"08/05/2016";"Continue translation of guides in branch of previous release "
"06/28/2016";"06/28/2016";"Remind f-dev-announce to Rebuild All Translated Packages"
"06/29/2016";"06/29/2016";"Software String Freeze"
"06/29/2016";"07/20/2016";"Software Translation Period"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/12/2016";"07/12/2016";"Remind f-dev-announce to build F1 collection pkgs for trans team"
"07/18/2016";"07/18/2016";"Create Rel-Eng ticket for Live Image compose for Software Review UI"
"07/19/2016";"07/27/2016";"Review and correct software translation in built UI"
"07/21/2016";"07/28/2016";"Review and correct Beta Release Notes (daily buids html)"
"07/22/2016";"09/15/2016";"Translate All Guides (POT to PO)"
"07/25/2016";"08/12/2016";"Translate Beta Release Notes"
"07/27/2016";"07/27/2016";"Software: Translation Deadline (PO Files complete)"
"07/27/2016";"07/27/2016";"Remind f-dev-announce to Rebuild All Translated Packages"
"07/28/2016";"07/28/2016";"Translation Deadline: Beta Release Notes (PO Files complete)"
"07/28/2016";"08/01/2016";"Build f-r-n.rpm and Push to updates-candidate"
"07/29/2016";"09/01/2016";"Translate Final Release Notes (POT to PO)"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/12/2016";"08/12/2016";"Reminder to f-websites-list about POT/PO dates in 7 days"
"08/22/2016";"09/02/2016";"Translation Period for Website (POT to PO)"
"08/26/2016";"09/01/2016";"Review and correct GA Release Notes (daily builds html)"
"08/30/2016";"09/06/2016";"Translate 0-Day Release Notes"
"09/01/2016";"09/01/2016";"Translation Deadline: GA rel-notes (PO Files complete)"
"09/01/2016";"09/14/2016";"Review and correct Final Translated Guides (daily builds html)"
"09/02/2016";"09/08/2016";"Review and correct Website translations"
"09/06/2016";"09/06/2016";"Translation Deadline: All Final Guides"
"09/06/2016";"09/06/2016";"Translation Deadline: 0-Day (PO Files complete)"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/08/2016";"09/08/2016";"Translation Deadline: Websites (POs done)"
"09/08/2016";"09/15/2016";"GA Announcement available for translation (optional)"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
