"Start";"End";"Name"
"07/19/2016";"07/26/2016";"Tenda Ambassador MDA Meetings Preparing For Tenda 1"
"07/19/2016";"07/19/2016";"Regional teams call for Preparation of Media/SWAG"
"07/20/2016";"07/27/2016";"Regional Team Meetings and Select POC for Media production"
"07/20/2016";"07/27/2016";"Regional Teams Submit Funding Request For Swag/Media Production"
"07/28/2016";"08/11/2016";"Coordinate Media/Swag/Poster artwork with Design team"
"08/12/2016";"08/26/2016";"Design Team Create Release Party Posters"
"08/16/2016";"08/30/2016";"Regional Teams Plan Regional Logistics for Release Events & File Budget Requests"
"08/16/2016";"08/16/2016";"Regional Teams Call for Release Events"
"08/24/2016";"09/07/2016";"Regional town hall meetings"
"08/31/2016";"08/31/2016";"MAVC/gPivotal Review Budget Allocations"
"08/31/2016";"08/31/2016";"Release Event Submission Deadline"
"09/02/2016";"09/02/2016";"Video Conference Regional Teams Meet to Address Unresolved Events/Media/Swag Issues"
"09/07/2016";"09/08/2016";"Regional Coordination with Marketing for Release Events"
"09/07/2016";"10/10/2016";"Hold Release Events and Publish Event Reports"
"09/08/2016";"09/13/2016";"Regional Teams Obtain Final Release ISOs from Release Engineering for duplication"
