"Start";"End";"Name"
"05/01/2016";"05/01/2016";"Start Development"
"05/01/2016";"06/24/2016";"Packaging and Development (precedes Alpha)"
"06/08/2016";"06/08/2016";"Request Feature Status Updates + Remind Submit Deadline"
"06/14/2016";"06/14/2016";"Feature Submission Deadline One Week away"
"06/15/2016";"06/15/2016";"Feature Submission Deadline"
"06/15/2016";"06/15/2016";"Submit Installer Build for QA Compose"
"06/15/2016";"06/15/2016";"Feature Submission Deadline Two Weeks away"
"06/16/2016";"06/16/2016";"Submit Installer Build for QA Compose"
"06/17/2016";"06/17/2016";"Alpha Blocker Meeting (f1alpha) #1"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"06/22/2016";"06/22/2016";"Orphan Rawhide Packages"
"06/22/2016";"06/22/2016";"Branch Tenda 1 from Rawhide"
"06/23/2016";"06/23/2016";"Submit Installer Build for QA Compose"
"06/24/2016";"06/24/2016";"Alpha Change Deadline"
"06/24/2016";"06/24/2016";"Submit Kernel Build for Alpha RC Compose"
"06/24/2016";"06/24/2016";"Alpha Blocker Meeting (f1alpha) #2"
"06/27/2016";"06/30/2016";"Daily Review & Notification of Open Alpha Blocker Bugs"
"06/27/2016";"06/27/2016";"Submit Installer Build for Alpha RC Compose"
"06/29/2016";"06/29/2016";"Software String Freeze"
"07/01/2016";"07/01/2016";"Alpha Blocker Meeting (f1alpha) #3"
"07/04/2016";"07/04/2016";"Tenda 1 Alpha Go/No-Go Meeting (17:00 US Eastern)"
"07/06/2016";"07/06/2016";"Alpha Blocker Meeting (f1alpha) #4"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/13/2016";"07/13/2016";"Beta Blocker Meeting (f1beta) #1"
"07/18/2016";"07/18/2016";"Build F-1 collection packages for all language translators"
"07/20/2016";"07/20/2016";"Beta Blocker Meeting (f1beta) #2"
"07/21/2016";"07/21/2016";"Submit Installer Build for Beta TC Compose"
"07/21/2016";"07/27/2016";"Daily Review & Notification of Open Beta Blocker Bugs"
"07/27/2016";"07/27/2016";"Software: Start Rebuild all translated packages"
"07/27/2016";"08/03/2016";"Software: Rebuild all translated packages"
"07/27/2016";"07/27/2016";"Beta Blocker Meeting (f1beta) #3"
"07/29/2016";"07/29/2016";"Submit Kernel Build for Beta RC Compose"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"08/01/2016";"08/01/2016";"Submit Installer Build for Beta RC Compose"
"08/03/2016";"08/03/2016";"Beta Blocker Meeting (f1beta) #4"
"08/08/2016";"08/08/2016";"Tenda 1 Beta Go/No-Go Meeting (17:00 US Eastern)"
"08/10/2016";"08/10/2016";"Final Blocker Meeting (f1blocker) #1"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/17/2016";"08/17/2016";"Final Blocker Meeting (f1blocker) #2"
"08/24/2016";"08/24/2016";"Submit Installer Build for Final TC Compose"
"08/24/2016";"08/24/2016";"Final Blocker Meeting (f1blocker) #3"
"08/25/2016";"08/31/2016";"Daily Review & Notification of Open Final Blocker Bugs"
"08/31/2016";"08/31/2016";"Disable Kernel debug and submit new Kernel build for RC"
"08/31/2016";"08/31/2016";"Final Blocker Meeting (f1blocker) #4"
"09/01/2016";"09/01/2016";"Final Blocker Meeting (f1blocker)--Blocks RC Compose"
"09/01/2016";"09/01/2016";"Final Change Deadline"
"09/01/2016";"09/01/2016";"Submit Installer Build for Final RC Compose"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/09/2016";"09/09/2016";"Send Email Reminder About Tenda EOL Activities"
