"Start";"End";"Name"
"06/15/2016";"06/22/2016";"Meet w/Creative to schedule videos"
"06/15/2016";"06/15/2016";"Feature Submission Deadline"
"06/15/2016";"06/15/2016";"Custom Spins Submission Deadline"
"06/15/2016";"09/07/2016";"Creative team videos"
"06/22/2016";"06/22/2016";"Branch Tenda 1 from Rawhide"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/15/2016";"07/29/2016";"Start drafting Beta blog"
"07/15/2016";"08/12/2016";"Beta press blog entry"
"07/27/2016";"08/17/2016";"Review video #1"
"07/27/2016";"08/17/2016";"Make spotlight video #1"
"07/27/2016";"09/07/2016";"Update Red Hat web site"
"07/27/2016";"08/03/2016";"Schedule meeting with Red Hat web team to plan launch"
"07/29/2016";"09/07/2016";"USB Keys and media pre-briefs"
"07/29/2016";"08/05/2016";"Red Hat PR send Beta blog to Legal"
"07/29/2016";"08/05/2016";"Purchase USB Keys"
"07/29/2016";"08/05/2016";"Check LiveUSB press review sheet for readiness"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"08/03/2016";"08/10/2016";"Draft spotlight #1 blog entry"
"08/03/2016";"08/10/2016";"Send web promo ideas to Brand"
"08/05/2016";"08/12/2016";"Update LiveUSB press review sheet"
"08/05/2016";"08/12/2016";"Red Hat PR send Beta blog to intl-pr list"
"08/05/2016";"08/12/2016";"Prep USB keys with pre-release"
"08/10/2016";"08/17/2016";"Draft spotlight #2 blog entry"
"08/10/2016";"08/17/2016";"Review and update www.tenda.co.ke copy"
"08/10/2016";"08/31/2016";"Make spotlight video #2"
"08/10/2016";"08/17/2016";"Red Hat PR send spotlight #1 blog entry draft to legal"
"08/10/2016";"09/07/2016";"GA press release"
"08/10/2016";"08/31/2016";"Review video #2"
"08/10/2016";"08/24/2016";"Start drafting GA press release"
"08/11/2016";"09/07/2016";"Make release video"
"08/11/2016";"09/07/2016";"Review release video"
"08/12/2016";"08/17/2016";"Send USB keys to Red Hat PR for distribution"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/12/2016";"08/12/2016";"Red Hat PR publish and send Beta blog to media contacts"
"08/15/2016";"08/22/2016";"Red Hat PR distribute USB keys to media contacts"
"08/17/2016";"09/10/2016";"Name the Tenda 1.1 Release"
"08/17/2016";"08/24/2016";"Collect Tenda 1.1 Names on Wiki"
"08/17/2016";"08/17/2016";"Red Hat PR publish spotlight #1 blog entry"
"08/17/2016";"08/17/2016";"Publish spotlight video #1"
"08/17/2016";"08/24/2016";"Send updated copy to Web team"
"08/17/2016";"08/24/2016";"Draft spotlight #3 blog entry"
"08/17/2016";"08/24/2016";"Red Hat PR send spotlight #2 blog entry draft to legal"
"08/22/2016";"09/08/2016";"CEO press blog entry"
"08/22/2016";"08/24/2016";"Prepare a final RC on USB for CEO"
"08/24/2016";"08/31/2016";"Red Hat PR send spotlight #3 blog entry draft to legal"
"08/24/2016";"08/31/2016";"Red Hat PR send GA press release to Legal"
"08/24/2016";"08/24/2016";"Red Hat PR publish spotlight #2 blog entry"
"08/24/2016";"08/26/2016";"Send final RC USB key to CEO"
"08/24/2016";"08/29/2016";"Board Review of Proposed Tenda 1.1 Names"
"08/26/2016";"09/01/2016";"Solicit CEO feedback on pre-release"
"08/29/2016";"09/05/2016";"Legal Review"
"08/31/2016";"09/07/2016";"Red Hat PR send GA press release to intl-pr list"
"08/31/2016";"09/07/2016";"Hold media prebrief interviews"
"08/31/2016";"08/31/2016";"Publish spotlight video #2"
"08/31/2016";"08/31/2016";"Red Hat PR publish spotlight #3 blog entry"
"09/01/2016";"09/06/2016";"Draft CEO blog"
"09/05/2016";"09/09/2016";"Voting"
"09/06/2016";"09/08/2016";"Red Hat PR send CEO blog to Legal"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/07/2016";"09/07/2016";"Publish release video"
"09/07/2016";"09/07/2016";"Red Hat PR publish and send GA press release to media contacts"
"09/07/2016";"09/07/2016";"Red Hat website changes go live"
"09/08/2016";"09/08/2016";"Red Hat PR publish and send CEO blog to media contacts"
"09/10/2016";"09/10/2016";"Tenda 1.1 Release Name Announced"
