"Start";"End";"Name"
"06/03/2016";"06/07/2016";"Create Wiki"
"06/03/2016";"06/07/2016";"Cycle Marketing wiki pages for current release"
"06/22/2016";"06/22/2016";"Feature Freeze (Testable|Complete)"
"06/22/2016";"06/22/2016";"Spins Freeze--All Tenda 1 Spins Identified"
"06/24/2016";"07/01/2016";"Create Talking Points"
"07/01/2016";"07/15/2016";"Feature Profiles"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"07/08/2016";"07/12/2016";"Create Alpha Announcement (Marketing & Docs)"
"07/08/2016";"07/08/2016";"Alpha Public Availability"
"07/08/2016";"07/15/2016";"Review Firefox Bookmarks For Update"
"07/15/2016";"07/19/2016";"Update and Package Firefox Bookmarks"
"07/19/2016";"07/19/2016";"Tag Updated Bookmarks Package for Tenda 1"
"07/29/2016";"07/29/2016";"Features 100% Complete Deadline"
"07/29/2016";"07/29/2016";"Beta Change Deadline"
"08/05/2016";"08/12/2016";"Brief Ambassadors on upcoming release"
"08/05/2016";"08/12/2016";"Marketing: Beta One Page Release Notes"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/09/2016";"08/11/2016";"Create Beta Announcement (Docs & Marketing)"
"08/12/2016";"08/12/2016";"Beta Release Public Availability"
"08/19/2016";"08/26/2016";"Update and freeze the screenshots page"
"08/26/2016";"10/06/2016";"Monitor news sites to provide corrections & info"
"08/26/2016";"09/02/2016";"Marketing: Final Screen Shots"
"08/26/2016";"09/02/2016";"Marketing: Final One Page Release Notes"
"08/26/2016";"09/02/2016";"Brief news distribution network"
"08/31/2016";"09/08/2016";"Create GA Announcement (Docs & Marketing)"
"09/07/2016";"09/07/2016";"Final (GA) Release"
"09/07/2016";"09/21/2016";"Marketing Retrospective"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
