"Start";"End";"Name"
"07/05/2016";"07/06/2016";"Add Alpha Banner to Website"
"07/08/2016";"07/08/2016";"Tenda 1 Alpha Release Readiness Meeting"
"08/09/2016";"08/10/2016";"Add Beta Banner to Website"
"08/09/2016";"08/09/2016";"Tenda 1 Beta Release Readiness Meeting"
"08/12/2016";"08/15/2016";"Publish Count Down Graphic"
"08/12/2016";"08/19/2016";"Update Website Content"
"08/12/2016";"08/12/2016";"Reminder to f-websites-list about POT/PO dates in 7 days"
"08/19/2016";"08/22/2016";"Create Website POT Files"
"08/19/2016";"08/19/2016";"Website String Freeze"
"09/02/2016";"09/08/2016";"Review and correct Website translations"
"09/08/2016";"09/09/2016";"Publish Translations on Website (www.tenda.co.ke)"
"09/13/2016";"09/13/2016";"Tenda 1 Final Release Readiness Meeting"
"09/14/2016";"09/15/2016";"Add Final Release Banners to Website"
